City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
aasiaat,68.7098,-52.8699,39.11,98,100,2.1,GL,1689133924
laibin,23.7,109.2667,89.28,64,83,12.71,CN,1689133924
utrik,11.2278,169.8474,83.25,78,33,13.0,MH,1689133924
ngaoundere,7.3167,13.5833,64.15,95,71,3.0,CM,1689133924
tura,25.5198,90.2201,75.72,95,100,7.09,IN,1689133925
hanceville,34.0607,-86.7675,72.16,70,91,2.66,US,1689133926
levokumskoye,44.8219,44.6606,68.85,58,2,13.56,RU,1689133926
olonkinbyen,70.9221,-8.7187,38.03,87,100,13.49,SJ,1689133926
udachny,66.4167,112.4,53.46,81,100,11.59,RU,1689133926
bethel,41.3712,-73.414,71.26,75,0,3.44,US,1689133738
kachug,53.9606,105.8817,78.44,40,37,9.66,RU,1689133926
iqaluit,63.7506,-68.5145,49.73,93,100,5.75,CA,1689133927
isafjordur,66.0755,-23.124,46.18,67,18,6.62,IS,1689133927
flin flon,54.7682,-101.865,61.84,53,99,4.18,CA,1689133927
murun-kuren,49.6342,100.1625,61.39,80,98,2.59,MN,1689133927
college,64.8569,-147.8028,68.95,56,75,11.5,US,1689133927
maturin,9.75,-63.1767,73.96,98,17,4.63,VE,1689133928
yangjiang,21.85,111.9667,88.09,68,30,9.91,CN,1689133928
ilulissat,69.2167,-51.1,44.62,81,100,0.0,GL,1689133928
morehead city,34.7229,-76.726,79.92,85,40,10.36,US,1689133928
alo,7.4178,6.7371,73.24,99,100,2.55,NG,1689133928
albany,42.6001,-73.9662,69.17,91,14,3.96,US,1689133466
thompson,55.7435,-97.8558,60.96,82,75,0.0,CA,1689133739
kenora,49.8167,-94.4337,65.37,55,75,4.61,CA,1689133929
enewetak,11.3474,162.3373,83.44,77,36,14.65,MH,1689133929
hilo,19.7297,-155.09,78.55,76,20,12.66,US,1689133876
yellowknife,62.456,-114.3525,73.92,27,20,3.44,CA,1689133930
gadzhiyevo,69.2551,33.3362,65.39,55,23,8.9,RU,1689133930
usogorsk,63.4106,48.6872,52.84,89,100,12.1,RU,1689133930
hradyz'k,49.2346,33.1361,62.31,66,100,8.34,UA,1689133931
caribou,46.8606,-68.012,63.93,91,0,0.0,US,1689133993
wau,7.7029,27.9953,69.84,98,100,3.6,SS,1689133993
illizi,26.4833,8.4667,82.2,20,0,6.08,DZ,1689133993
hawaiian paradise park,19.5933,-154.9731,78.26,79,20,12.66,US,1689133993
tiksi,71.6872,128.8694,37.24,95,100,6.13,RU,1689133994
ust-nera,64.5667,143.2,77.68,38,22,6.35,RU,1689133994
kodiak,57.79,-152.4072,53.11,87,100,6.91,US,1689133994
pallisa,1.145,33.7094,63.25,88,50,2.46,UG,1689133995
hoemul-li,41.4339,129.67,77.58,63,15,7.11,KP,1689133995
ekibastuz,51.6667,75.3667,94.26,23,0,3.58,KZ,1689133995
georgetown,5.4112,100.3354,87.75,70,20,6.91,MY,1689133995
baud,20.8333,84.3167,87.01,66,100,6.13,IN,1689133996
bilibino,68.0546,166.4372,67.91,40,99,1.54,RU,1689133996
ebersbach an der fils,48.716,9.5236,66.27,67,100,4.47,DE,1689133996
vorgashor,67.5833,63.95,49.23,66,34,4.9,RU,1689133996
hammerfest,70.6634,23.6821,72.05,53,22,3.44,NO,1689133996
ushtobe,45.2514,77.9838,88.66,25,0,22.44,KZ,1689133997
mirny,62.5353,113.9611,64.24,51,63,15.99,RU,1689133997
klyuchi,52.2667,79.1667,93.25,28,11,5.99,RU,1689133997
haiku-pauwela,20.9219,-156.3051,78.15,65,40,24.16,US,1689133998
nova sintra,14.8667,-24.7167,70.29,81,88,10.85,CV,1689133998
bardai,11.65,7.2333,72.41,75,100,5.93,NG,1689133998
keflavik,64.0049,-22.5624,50.43,71,0,6.91,IS,1689133999
shalkar,47.8288,59.6258,90.39,23,99,6.29,KZ,1689133999
lincoln city,44.9582,-124.0179,60.82,84,47,11.01,US,1689133806
raja,8.4596,25.678,69.12,97,100,5.77,SS,1689133999
la'ie,21.6477,-157.9253,80.37,72,6,3.0,US,1689134000
myitkyina,25.3833,97.4,74.7,99,100,2.1,MM,1689134000
tondano,1.3038,124.9112,84.29,60,98,5.55,ID,1689134000
iskateley,67.6803,53.1512,49.82,68,39,10.02,RU,1689134000
jamestown,42.097,-79.2353,67.57,94,40,0.0,US,1689134000
rosarito,32.3333,-117.0333,67.96,73,21,4.72,MX,1689133918
muisne,0.6,-80.0333,78.03,88,89,3.36,EC,1689134001
labrador city,52.9463,-66.9114,58.91,94,100,5.75,CA,1689133810
derzhavinsk,51.1,66.3167,93.42,20,27,13.76,KZ,1689134001
santa elena de uairen,4.6167,-61.1333,66.78,85,13,2.57,VE,1689134063
burang,30.25,81.1667,54.09,77,91,5.84,CN,1689134063
st. john's,47.5649,-52.7093,53.31,99,100,9.22,CA,1689133800
