City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
hermanus,-34.4187,19.2345,51.13,57,0,4.85,ZA,1689133924
puerto natales,-51.7236,-72.4875,24.75,91,34,2.86,CL,1689133924
rio grande,-32.035,-52.0986,57.94,73,3,14.47,BR,1689133925
atafu village,-8.5421,-172.5159,83.84,72,79,15.05,TK,1689133925
port-aux-francais,-49.35,70.2167,39.4,93,100,33.33,TF,1689133925
lebu,-37.6167,-73.65,47.59,80,98,13.53,CL,1689133891
ushuaia,-54.8,-68.3,31.66,86,20,2.3,AR,1689133872
ta`u,-14.2336,-169.5144,81.93,77,100,14.32,AS,1689133925
waitangi,-43.9535,-176.5597,48.81,80,0,5.01,NZ,1689133925
sao jose da coroa grande,-8.8978,-35.1478,75.43,81,29,9.19,BR,1689133926
sechura,-5.5569,-80.8222,72.84,75,10,14.43,PE,1689133926
carnarvon,-24.8667,113.6333,70.47,36,0,4.59,AU,1689133926
kone,-21.0595,164.8658,75.2,43,3,14.07,NC,1689133927
grytviken,-54.2811,-36.5092,21.34,85,21,8.05,GS,1689133927
fale old settlement,-9.3852,-171.2468,83.59,75,100,14.88,TK,1689133927
adamstown,-25.066,-130.1015,70.03,59,97,0.98,PN,1689133928
bredasdorp,-34.5322,20.0403,43.41,78,0,3.0,ZA,1689133928
blackmans bay,-43.0167,147.3167,59.25,66,100,8.5,AU,1689133929
bowen,-20.0167,148.2333,73.22,61,99,18.37,AU,1689133929
pisco,-13.7,-76.2167,68.05,77,100,2.3,PE,1689133929
mata-utu,-13.2816,-176.1745,82.49,78,44,13.94,WF,1689133929
margaret river,-33.95,115.0667,63.93,73,95,20.71,AU,1689133930
edinburgh of the seven seas,-37.0676,-12.3116,58.48,91,92,9.31,SH,1689133930
namibe,-15.1961,12.1522,68.79,37,0,5.7,AO,1689133930
touros,-5.1989,-35.4608,73.78,89,1,11.25,BR,1689133932
avarua,-21.2078,-159.775,78.85,78,13,9.22,CK,1689133993
port mathurin,-19.6833,63.4167,75.27,73,47,15.79,MU,1689133994
guarapari,-20.6667,-40.4975,71.89,82,3,6.69,BR,1689133994
port elizabeth,-33.918,25.5701,41.29,93,0,2.3,ZA,1689133994
mbanza-ngungu,-5.25,14.8667,64.42,83,9,3.74,CD,1689133995
invercargill,-46.4,168.35,41.92,74,100,19.89,NZ,1689133995
new norfolk,-42.7826,147.0587,59.23,65,99,10.49,AU,1689133995
valparaiso,-33.0393,-71.6273,59.0,61,100,4.61,CL,1689133740
durban,-29.8579,31.0292,54.52,64,14,7.09,ZA,1689133978
kununurra,-15.7667,128.7333,84.18,26,8,14.97,AU,1689133997
padang,-0.9492,100.3543,86.05,82,37,2.57,ID,1689133998
coquimbo,-29.9533,-71.3436,56.93,100,75,2.3,CL,1689133998
west island,-12.1568,96.8225,80.58,78,75,20.71,CC,1689133998
papatowai,-46.5619,169.4708,40.6,78,99,21.94,NZ,1689133998
east london,-33.0153,27.9116,50.94,71,0,6.91,ZA,1689133832
puerto baquerizo moreno,-0.9,-89.6,77.0,84,78,11.56,EC,1689133999
rio gallegos,-51.6226,-69.2181,32.05,93,100,2.3,AR,1689134000
acarau,-2.8856,-40.12,76.89,85,0,14.54,BR,1689134000
kruisfontein,-34.0033,24.7314,47.19,56,0,5.14,ZA,1689134001
tolanaro,-25.0319,46.9987,68.07,68,75,17.27,MG,1689134063
carahue,-38.7,-73.1667,42.19,97,100,1.88,CL,1689134064
port alfred,-33.5906,26.891,54.37,61,0,5.64,ZA,1689134064
minas de marcona,-15.2119,-75.1103,54.09,90,78,14.18,PE,1689134065
south hedland,-20.4089,118.5983,84.13,28,2,16.11,AU,1689134066
tsiombe,-25.3,45.4833,62.01,61,44,9.8,MG,1689134066
mohale's hoek,-30.1514,27.4769,35.51,54,0,1.5,LS,1689134067
buala,-8.145,159.5921,82.85,70,96,14.76,SB,1689134067
port lincoln,-34.7333,135.8667,62.31,51,28,15.05,AU,1689134069
puerto ayora,-0.7393,-90.3518,77.56,92,90,5.99,EC,1689134070
uturoa,-16.7333,-151.4333,79.95,72,6,20.96,PF,1689134071
mount isa,-20.7333,139.5,78.57,44,0,3.44,AU,1689134071
geraldton,-28.7667,114.6,64.81,63,0,4.61,AU,1689134071
alice springs,-23.7,133.8833,63.95,34,0,15.32,AU,1689134112
igarape acu,-1.1289,-47.62,71.55,98,9,2.24,BR,1689134134
pacocha,-17.5833,-71.3333,61.05,88,99,5.75,PE,1689134135
afaahiti,-17.75,-149.2833,80.47,79,55,19.51,PF,1689134135
mahebourg,-20.4081,57.7,68.29,94,40,3.44,MU,1689134135
santo antonio do ica,-3.1022,-67.9397,75.97,85,47,1.25,BR,1689134136
ancud,-41.8697,-73.8203,38.35,82,18,4.9,CL,1689134136
